name,uid,formed_date,formed_date_source,formed_date_precision
"ももいろクローバーZ",44KC44KC44GE44KN44Kv44Ot44O844OQ44O8Wg,2007-01-01,,
"≠ME",4omgTUU,2019-08-04,,
"Billlie",QmlsbGxpZQ,2021-11-10,,
"SWEET STEADY",U1dFRVQgU1RFQURZ,2024-01-23,,
"Buono!",QnVvbm8h,2007-07-21,,
"≒JOY",4omSSk9Z,2022-03-29,,
"NMB48",Tk1CNDg,2010-01-01,,
"i☆Ris",aeKYhlJpcw,2012-01-01,,
"私立恵比寿中学",56eB56uL5oG15q-U5a-_5Lit5a2m,2009-08-04,,
"AVAM",QVZBTQ,2021-10-01,,
"高嶺のなでしこ",6auY5ba644Gu44Gq44Gn44GX44GT,2022-07-10,,
"Cherry Bullet",Q2hlcnJ5IEJ1bGxldA,2019-01-21,,
"PassCode",UGFzc0NvZGU,2013-01-01,jpop_fandom_years,year
"いぎなり東北産",44GE44GO44Gq44KK5p2x5YyX55Sj,2015-08-09,,
"のんふぃく！",44Gu44KT44G144GD44GP77yB,2021-04-05,,
"EMPiRE",RU1QaVJF,2017-08-23,,
"ZOCX",Wk9DWA,2018-01-01,jpop_fandom_years,year
"GENIC",R0VOSUM,2020-05-27,,
"でんぱ組.inc",44Gn44KT44Gx57WELmluYw,2010-06-03,,
"Girls²",R2lybHPCsg,2019-01-01,jpop_fandom_years,year
"清竜人25",5riF56uc5Lq6MjU,2014-09-01,,
"SKE48",U0tFNDg,2008-10-05,,
"HKT48",SEtUNDg,2011-01-01,,
"Broken By The Scream",QnJva2VuIEJ5IFRoZSBTY3JlYW0,2017-01-01,,
"フィロソフィーのダンス",44OV44Kj44Ot44K944OV44Kj44O844Gu44OA44Oz44K5,2016-11-23,suggestion_medium,
"KAQRIYOTERROR",S0FRUklZT1RFUlJPUg,2017-08-01,,
"℃-ute",4oSDLXV0ZQ,2005-06-01,,
"夜光性アミューズ",5aSc5YWJ5oCn44Ki44Of44Ol44O844K6,2021-03-17,,
"わーすた",44KP44O844GZ44Gf,2015-01-01,,
"AMEFURASSHI",QU1FRlVSQVNTSEk,2018-11-03,,
"CSR",Q1NS,,,
"lol",bG9s,2014-01-01,jpop_fandom_years,year
"Rocket Punch",Um9ja2V0IFB1bmNo,2019-08-07,,
"femme fatale",ZmVtbWUgZmF0YWxl,2018-10-22,,
"STU48",U1RVNDg,2017-03-31,suggestion_medium,
"我儘ラキア",5oiR5YSY44Op44Kt44Ki,2016-01-01,,
"@onefive",QG9uZWZpdmU,2019-10-20,,
"yosugala",eW9zdWdhbGE,2022-05-15,,
"虹のコンキスタドール",6Jm544Gu44Kz44Oz44Kt44K544K_44OJ44O844Or,2014-07-14,,
"ぜんぶ君のせいだ。",44Gc44KT44G25ZCb44Gu44Gb44GE44Gg44CC,2015-01-01,ja_wikipedia_活動期間,year
"LE SSERAFIM",TEUgU1NFUkFGSU0,2022-05-02,,
"BABYMONSTER",QkFCWU1PTlNURVI,2023-11-27,,
"BABYMETAL",QkFCWU1FVEFM,2010-01-01,,
"=LOVE",PUxPVkU,2017-08-05,,
"乃木坂46",5LmD5pyo5Z2CNDY,2023-02-01,suggestion_medium,
"FRUITS ZIPPER",RlJVSVRTIFpJUFBFUg,2022-04-01,,
"AKB48",QUtCNDg,2005-01-01,,
"iLiFE!",aUxpRkUh,2020-06-05,,
"櫻坂46",5qu75Z2CNDY,2020-10-14,,
"CUTIE STREET",Q1VUSUUgU1RSRUVU,2024-08-04,,
"CANDY TUNE",Q0FORFkgVFVORQ,2023-02-02,,
"じーくらむ！",44GY44O844GP44KJ44KA77yB,2019-12-27,,
"ラストシーン",44Op44K544OI44K344O844Oz,2025-12-13,,
"Nゼロ",TuOCvOODrQ,2010-05-01,,
"Checkmate",Q2hlY2ttYXRl,,,
"VILLAINS HOUSE",VklMTEFJTlMgSE9VU0U,2024-08-01,,
"YAMINABE",WUFNSU5BQkU,,,
"あげもん！",44GC44GS44KC44KT77yB,2021-07-23,,
"ナト☆カン",44OK44OI4piG44Kr44Oz/#google_vignette,2011-12-12,,
"リリシック学園",44Oq44Oq44K344OD44Kv5a2m5ZyS,2020-04-19,,
"Pimm's",UGltbSdz,2013-05-24,,
"Love Cocchi",TG92ZSBDb2NjaGk,2017-01-01,jpop_fandom_years,year
"ドレスコード",d231b9f2-f247-4cf5-8d57-35365fd73f16,2024-09-21,,
"ガガピエロ",df3e70ea-93af-41a2-bc29-22f7087350d8,2023-01-14,,
"ヒロインズ研究生",9b937bbf-facf-437b-9815-94152bfe5805,2023-10-16,,
"ナナコロビヤオキ",055cd81a-8c78-44ad-b74b-3f45fc551f9b,2024-06-14,,
"iON!",d698eb6b-e82f-48f1-a2df-6cf858315ad4,2025-04-20,,
"LADYBABY",72612662-7c13-4de8-b694-a800f9eb1dda,2015-01-01,,
"AMAKAZE",a7805041-7cce-4541-86b5-a3fe06d3d4ea,2020-11-05,,
"Raiden",743724ff-5c2d-4e42-85ab-95e7e5c42954,2020-11-05,,
"Ragken!",d8f8e543-16c7-4f7e-8903-ded7ec8c5380,2019-09-05,,
"SUIGETSU",764d49a4-9186-44f0-9c88-ab913d7c95ca,2020-11-05,,
"BLK LiLiY",15c6385c-b09a-4dbc-89f1-fc96cef74fff,2021-03-21,,
"Link STAR's",7e2b7bae-0b97-4c6c-8268-4923aa92c622,2012-01-01,jpop_fandom_years,year
"Yumeiro H!L!T",4d9e63bf-672e-4b0a-86e6-40c8e5cc6689,2019-06-23,,
"欅坂46",5qyF5Z2CNDY,2015-08-21,,
"IZ*ONE",SVoqT05F,2018-10-29,,
"モーニング娘。",44Oi44O844OL44Oz44Kw5aiY44CC,1997-01-01,,
"Juice=Juice",SnVpY2U9SnVpY2U,2013-02-03,,
"神宿",56We5a6_,2014-09-28,,
"PiKi",UGlLaQ,2025-06-21,,
"アンジュルム",44Ki44Oz44K444Ol44Or44Og,2009-01-01,jpop_fandom_years,year
"Berryz工房",QmVycnl65bel5oi_,2004-01-01,,
"BEYOOOOONDS",QkVZT09PT09ORFM,2018-10-19,,
"つばきファクトリー",44Gk44Gw44GN44OV44Kh44Kv44OI44Oq44O8,2015-01-01,jpop_fandom_years,year
"Pretty Chuu",UHJldHR5IENodXU,2025-06-16,,
"MORE STAR",TU9SRSBTVEFS,2025-01-01,jpop_fandom_years,year
"MEGAFON",TUVHQUZPTg,2025-04-06,,
"幽世脅嚇",5bm95LiW6ISF5ZqH,2017-01-01,jpop_fandom_years,year
"A応P",QeW_nFA,2012-01-01,jpop_fandom_years,year
"OCHA NORMA",T0NIQSBOT1JNQQ,2021-12-12,,
"アイドリング!!!",44Ki44Kk44OJ44Oq44Oz44KwISEh,2006-01-01,jpop_fandom_years,year
"DRAW♡ME",RFJBV-KZoU1F,2026-01-01,jpop_fandom_years,year
"MNL48",TU5MNDg,2018-04-28,,
"ロージークロニクル",44Ot44O844K444O844Kv44Ot44OL44Kv44Or,2024-01-01,jpop_fandom_years,year
"眉村ちあき",55yJ5p2R44Gh44GC44GN,2015-01-01,ja_wikipedia_活動期間,year
"MYERA",TVlFUkE,2025-01-01,,
"Buzy",QnV6eQ,1998-01-01,,
"ハロプロ研修生",44OP44Ot44OX44Ot56CU5L-u55Sf,2010-03-27,,
"ラストアイドル2期生",44Op44K544OI44Ki44Kk44OJ44OrMuacn-eUnw,2018-01-01,manual,
"sora tob sakana",c29yYSB0b2Igc2FrYW5h,2014-01-01,jpop_fandom_years,year
"さくら学院",44GV44GP44KJ5a2m6Zmi,2012-08-04,,
"渡り廊下走り隊7",5rih44KK5buK5LiL6LWw44KK6ZqKNw,2009-01-01,jpop_fandom_years,year
"Prizmmy☆",UHJpem1teeKYhg,2012-01-01,jpop_fandom_years,year
"フェアリーズ",44OV44Kn44Ki44Oq44O844K6,2011-01-01,jpop_fandom_years,year
"26時のマスカレイド",MjbmmYLjga7jg57jgrnjgqvjg6zjgqTjg4k,2016-01-01,jpop_fandom_years,year
"GPP",R1BQ,2025-01-01,jpop_fandom_years,year
"RealRomantic",UmVhbFJvbWFudGlj,2025-04-16,,
"PIGMONZ",UElHTU9OWg,2026-03-21,,
"ONEPIXCEL",T05FUElYQ0VM,2015-01-01,jpop_fandom_years,year
"テンシンランマン",44OG44Oz44K344Oz44Op44Oz44Oe44Oz,2025-05-24,,
"Straight Angeli",U3RyYWlnaHQgQW5nZWxp,2025-11-01,,
"脇田もなり",6ISH55Sw44KC44Gq44KK,,,
"Jewel",SmV3ZWw,2010-06-13,,
"DIAVEL",RElBVkVM,2025-04-26,,
"MilkyWay",TWlsa3lXYXk,2012-01-01,jpop_fandom_years,year
"365°",MzY1wrA,,,
"Chuning Candy",Q2h1bmluZyBDYW5keQ,2013-01-01,jpop_fandom_years,year
"XINXIN",WElOWElO,2026-03-15,,
"Gen1es",R2VuMWVz,2024-01-01,ja_wikipedia_活動期間,year
"フレンチ・キス",44OV44Os44Oz44OB44O744Kt44K5,2010-01-01,manual,
"MISS MERCY",TUlTUyBNRVJDWQ,2022-03-02,,
"Toi Toi Toi",VG9pIFRvaSBUb2k,2025-04-04,,
"amini",YW1pbmk,2025-01-01,jpop_fandom_years,year
"セクト",44K744Kv44OI,2025-01-01,jpop_fandom_years,year
"ハッピーくるくる",44OP44OD44OU44O844GP44KL44GP44KL,2016-01-01,jpop_fandom_years,year
"悲撃のヒロイン症候群",5oKy5pKD44Gu44OS44Ot44Kk44Oz55eH5YCZ576k,2018-01-01,jpop_fandom_years,year
"RYUTist",UllVVGlzdA,2011-01-01,,
"ザ・コインロッカーズ",44K244O744Kz44Kk44Oz44Ot44OD44Kr44O844K6,2018-01-01,jpop_fandom_years,year
"りンね",44KK44Oz44Gt,,,
"Made in Maiden",TWFkZSBpbiBNYWlkZW4,2025-04-24,,
"ギミック",44Ku44Of44OD44Kv,2024-01-01,jpop_fandom_years,year
"Busters",QnVzdGVycw,2019-01-01,jpop_fandom_years,year
"ミソラドエジソン",44Of44K944Op44OJ44Ko44K444K944Oz,2020-01-01,jpop_fandom_years,year
"SOL",U09M,,,
"CAL&RES",Q0FMJlJFUw,2021-08-16,,
"ねおち",44Gt44GK44Gh,2022-01-01,jpop_fandom_years,year
"神様の言う通り",56We5qeY44Gu6KiA44GG6YCa44KK,2025-01-01,jpop_fandom_years,year
"絶望キネマ",57W25pyb44Kt44ON44Oe,2025-01-01,jpop_fandom_years,year
"LUNARSOLAR",TFVOQVJTT0xBUg,2020-09-02,ja_wikipedia_活動期間,day
"Especia",RXNwZWNpYQ,2012-06-01,,
"Zsasz",WnNhc3o,2019-10-22,,
"コレって恋ですか？",44Kz44Os44Gj44Gm5oGL44Gn44GZ44GL77yf,2019-08-31,,
"プランクスターズ",44OX44Op44Oz44Kv44K544K_44O844K6,2018-01-01,jpop_fandom_years,year
"可憐Girl's",5Y-v5oaQR2lybCdz,2008-01-01,jpop_fandom_years,year
"SPACE GIRLS PLANET",U1BBQ0UgR0lSTFMgUExBTkVU,2010-01-01,jpop_fandom_years,year
"Root mimi",Um9vdCBtaW1p,2025-01-01,jpop_fandom_years,year
"log you",bG9nIHlvdQ,2025-01-01,jpop_fandom_years,year
"めっ！",44KB44Gj77yB,2025-01-01,jpop_fandom_years,year
"DEADLIFT LOLITA",REVBRExJRlQgTE9MSVRB,2017-03-01,,
"アイドルネッサンス",44Ki44Kk44OJ44Or44ON44OD44K144Oz44K5,2014-01-01,jpop_fandom_years,year
"ベイビーレイズJAPAN",44OZ44Kk44OT44O844Os44Kk44K6SkFQQU4,2012-01-01,jpop_fandom_years,year
"CARRY LOOSE",Q0FSUlkgTE9PU0U,2019-06-01,,
"吉川友",5ZCJ5bed5Y-L,2010-01-01,jpop_fandom_years,year
"東京パフォーマンスドール",5p2x5Lqs44OR44OV44Kp44O844Oe44Oz44K544OJ44O844Or,1990-01-01,jpop_fandom_years,year
"BeForU",QmVGb3JV,2000-01-01,,
"RE-GE",UkUtR0U,2026-02-15,,
"アストレイル",44Ki44K544OI44Os44Kk44Or,,,
"PASSPO☆",UEFTU1BP4piG,2010-01-01,jpop_fandom_years,year
"吉田凜音",5ZCJ55Sw5Yec6Z-z,2010-01-01,ja_wikipedia_活動期間,year
"miscast",bWlzY2FzdA,2019-06-07,,
"Rev.from DVL",UmV2LmZyb20gRFZM,2003-01-01,jpop_fandom_years,year
"NEKIRU",TkVLSVJV,,,
"VINII",VklOSUk,2025-11-12,,
"MeMeQ",TWVNZVE,2025-09-27,,
"CURE'T",Q1VSRSdU,2025-11-24,,
"Sugar♡Holic",U3VnYXLimaFIb2xpYw,,,
"BNSI",Qk5TSQ,2025-08-08,,
"ヒイラギリオ",44OS44Kk44Op44Ku44Oq44Kq,2010-01-01,ja_wikipedia_活動期間,year
"特撮がるず",54m55pKu44GM44KL44Ga,2026-01-01,ja_wikipedia_活動期間,year
"篠崎りさ",56-g5bSO44KK44GV,,,
"Cheeky Parade",Q2hlZWt5IFBhcmFkZQ,2012-01-01,jpop_fandom_years,year
"IDOLATER",SURPTEFURVI,2019-03-25,,
"ファーストプレイリスト",44OV44Kh44O844K544OI44OX44Os44Kk44Oq44K544OI,,,
"ReFLiA",UmVGTGlB,2025-01-01,ja_wikipedia_活動期間,year
"武藤彩未",5q2m6Jek5b2p5pyq,2004-01-01,ja_wikipedia_活動期間,year
"ねもぺろ from でんぱ組.inc",44Gt44KC44G644KNIGZyb20g44Gn44KT44Gx57WELmluYw,2019-01-01,jpop_fandom_years,year
"みぎてやじるし ひだりてはーと",44G_44GO44Gm44KE44GY44KL44GXIOOBsuOBoOOCiuOBpuOBr-ODvOOBqA,2019-01-01,jpop_fandom_years,year
"CROWN POP",Q1JPV04gUE9Q,2015-08-08,,
"乙女新党",5LmZ5aWz5paw5YWa,2012-01-01,jpop_fandom_years,year
"寺嶋由芙",5a-65baL55Sx6IqZ,,,
"B.O.L.T",Qi5PLkwuVA,2019-07-01,,
"WHY@DOLL",V0hZQERPTEw,2014-09-01,,
"predia",cHJlZGlh,2010-01-01,,
"GEM",R0VN,2012-12-25,,
"恵比寿マスカッツ",5oG15q-U5a-_44Oe44K544Kr44OD44OE,2008-01-01,jpop_fandom_years,year
"KOTO",S09UTw,2012-01-01,,
"HO6LA",SE82TEE,2021-08-18,,
"広瀬愛菜",5bqD54Cs5oSb6I-c,,,
"シュークリームロケッツ",44K344Ol44O844Kv44Oq44O844Og44Ot44Kx44OD44OE,2018-01-01,jpop_fandom_years,year
"みんなのこどもちゃん",44G_44KT44Gq44Gu44GT44Gp44KC44Gh44KD44KT,2016-01-01,jpop_fandom_years,year
"バニラビーンズ",44OQ44OL44Op44OT44O844Oz44K6,2007-01-01,jpop_fandom_years,year
"DESURABBITS",REVTVVJBQkJJVFM,2013-10-01,,
"HALLCA",SEFMTENB,,,
"PiXMiX",UGlYTWlY,2019-01-09,,
"はちみつロケット",44Gv44Gh44G_44Gk44Ot44Kx44OD44OI,2012-01-01,jpop_fandom_years,year
"ロッカジャポニカ",44Ot44OD44Kr44K444Oj44Od44OL44Kr,2015-01-01,jpop_fandom_years,year
"X21",WDIx,2013-01-01,jpop_fandom_years,year
"Siam☆Dream",U2lhbeKYhkRyZWFt,2018-06-09,ja_wikipedia_活動期間,day
"3B junior",M0IganVuaW9y,2014-11-01,,
"raymay",cmF5bWF5,2018-12-01,,
"On the treat Super Season",T24gdGhlIHRyZWF0IFN1cGVyIFNlYXNvbg,2021-08-04,,
"NELN",TkVMTg,2020-04-01,,
"炭酸くろにくるっ",54Kt6YW444GP44KN44Gr44GP44KL44Gj,2021-04-18,,
"Le Siana",TGUgU2lhbmE,2012-01-01,,
"Pink Babies",UGluayBCYWJpZXM,2013-08-01,,
"eyes",ZXllcw,2017-01-01,jpop_fandom_years,year
"Last Idol",TGFzdCBJZG9s,2017-08-13,,
"Fujun Bungaku Shoujo Kagekidan",RnVqdW4gQnVuZ2FrdSBTaG91am8gS2FnZWtpZGFu,2022-08-11,,
"La Luce",TGEgTHVjZQ,2017-01-01,jpop_fandom_years,year
"Good Tears",R29vZCBUZWFycw,2017-01-01,jpop_fandom_years,year
"Choux Cream Rockets",Q2hvdXggQ3JlYW0gUm9ja2V0cw,2018-01-01,jpop_fandom_years,year
"Someday Somewhere",U29tZWRheSBTb21ld2hlcmU,2017-01-01,jpop_fandom_years,year
"Last Idol 2nd Generation",TGFzdCBJZG9sIDJuZCBHZW5lcmF0aW9u,2018-04-15,,
"Last Idol 2nd Generation Under",TGFzdCBJZG9sIDJuZCBHZW5lcmF0aW9uIFVuZGVy,2018-04-15,,
"アルプスおとめ",44Ki44Or44OX44K544GK44Go44KB,2006-11-01,,
"Astrain",QXN0cmFpbg,2026-01-01,,
"Circle Lychee",Q2lyY2xlIEx5Y2hlZQ,2023-01-01,jpop_fandom_years,year
"Shirayuri to Ame",U2hpcmF5dXJpIHRvIEFtZQ,2024-04-11,,
"Sect",U2VjdA,2025-05-26,,
"Cerisier",Q2VyaXNpZXI,2017-12-10,,
"#DO RE MI FA SOL LA SEED",I0RPIFJFIE1JIEZBIFNPTCBMQSBTRUVE,2022-12-29,,
"Wagamama na Last Note",V2FnYW1hbWEgbmEgTGFzdCBOb3Rl,2025-06-03,,
"KAMO ga NEGI wo Shottekuru!!!",S0FNTyBnYSBORUdJIHdvIFNob3R0ZWt1cnUhISE,2016-04-01,,
"mai mai",bWFpIG1haQ,2021-09-23,,
"Sukiiro Drop",U3VraWlybyBEcm9w,2020-01-01,,
"Toriko Naru Prelude",VG9yaWtvIE5hcnUgUHJlbHVkZQ,2026-01-01,jpop_fandom_years,year
"Amaterasu",QW1hdGVyYXN1,2019-12-12,,
"UNLAME",VU5MQU1F,2023-01-01,jpop_fandom_years,year
"NoelliL",Tm9lbGxpTA,2015-12-01,,
"Solennel Company",U29sZW5uZWwgQ29tcGFueQ,2020-09-01,,
"COLOR'z",Q09MT1Ineg,2018-01-01,,
"37.2℃ -Nanadonibu-",MzcuMuKEgyAtTmFuYWRvbmlidS0,2019-11-11,,
"Junjou no Afilia",SnVuam91IG5vIEFmaWxpYQ,2017-08-30,,
"Houkago Princess",SG91a2FnbyBQcmluY2Vzcw,2014-05-22,,
"Kakedashi no Hikou Shoujo",S2FrZWRhc2hpIG5vIEhpa291IFNob3Vqbw,2019-01-01,jpop_fandom_years,year
"Artemis no Tsubasa",QXJ0ZW1pcyBubyBUc3ViYXNh,2020-10-01,,
"#Pentaprism",I1BlbnRhcHJpc20,2021-05-01,,
"KATACOTO * BANK",S0FUQUNPVE8gKiBCQU5L,2021-02-27,,
"Minichu",TWluaWNodQ,2015-01-01,jpop_fandom_years,year
"BOKU ha KIMI no KAKERA.",Qk9LVSBoYSBLSU1JIG5vIEtBS0VSQS4,2020-08-22,,
"4864.",NDg2NC4,2022-02-09,,
"AUGMENTAL",QVVHTUVOVEFM,2022-04-23,,
"1Eyeline",MUV5ZWxpbmU,2021-01-31,,
"Eureka",RXVyZWth,2023-04-01,,
"HAKUSULA",SEFLVVNVTEE,2023-06-10,,
"HACK",SEFDSw,2023-01-01,jpop_fandom_years,year
"MINORITY ALERT",TUlOT1JJVFkgQUxFUlQ,2022-11-09,,
"Hare Nochi Koi Moyou",SGFyZSBOb2NoaSBLb2kgTW95b3U,2023-04-22,,
"Hiragana SAY-LA",SGlyYWdhbmEgU0FZLUxB,2025-07-02,,
"HikuteAmata",SGlrdXRlQW1hdGE,2020-03-29,,
"Spopopopony",U3BvcG9wb3Bvbnk,2022-03-22,,
"&Ch!ll",JkNoIWxs,2019-09-23,,
"cUTe! cENTI-mENTAL",Y1VUZSEgY0VOVEktbUVOVEFM,2021-06-09,,
"Starlet",U3RhcmxldA,2024-09-07,,
"LARMOON",TEFSTU9PTg,2019-01-01,jpop_fandom_years,year
"Lovely☆DOLL",TG92ZWx54piGRE9MTA,2010-10-01,,
"Tokyo Yume Piyogumi",VG9reW8gWXVtZSBQaXlvZ3VtaQ,,,
"GRACiAS",R1JBQ2lBUw,2020-01-01,jpop_fandom_years,year
"momograci",bW9tb2dyYWNp,2021-03-30,,
"Momoiro Kakumei",TW9tb2lybyBLYWt1bWVp,2016-01-01,jpop_fandom_years,year
"METROPOLIS",TUVUUk9QT0xJUw,2014-01-01,,
"B.L.T. IDOL COLLEGE",Qi5MLlQuIElET0wgQ09MTEVHRQ,2009-01-01,jpop_fandom_years,year
"Survive-ZERO",U3Vydml2ZS1aRVJP,2006-01-01,,
"Yanchan Gakuen Ongakubu",WWFuY2hhbiBHYWt1ZW4gT25nYWt1YnU,2013-01-01,jpop_fandom_years,year
"Alcute!",QWxjdXRlIQ,2023-07-24,,
"Z5-C1",WjUtQzE,2021-08-14,,
"PrincessGarden-2GN-",UHJpbmNlc3NHYXJkZW4tMkdOLQ,2021-05-02,,
"rosé collage",cm9zw6kgY29sbGFnZQ,2022-01-16,,
"Station♪",U3RhdGlvbuKZqg,2011-09-25,,
"Katamomi Joshi",S2F0YW1vbWkgSm9zaGk,2012-01-01,jpop_fandom_years,year
"info.m@te",aW5mby5tQHRl,2015-06-01,,
"Wonder Weed Ten",V29uZGVyIFdlZWQgVGVu,2020-02-01,,
"buGG",YnVHRw,2017-09-01,,
"BACK THE RIPPER",QkFDSyBUSEUgUklQUEVS,2024-06-28,,
"Party chuuuN!",UGFydHkgY2h1dXVOIQ,2023-09-15,,
"KissBeeWEST",S2lzc0JlZVdFU1Q,2014-01-01,jpop_fandom_years,year
"Suteneko Cats",U3V0ZW5la28gQ2F0cw,2022-11-21,,
"M3LOGIN",TTNMT0dJTg,2025-10-04,,
"Sureness",U3VyZW5lc3M,2021-01-07,,
"Kore:ct",S29yZTpjdA,2018-09-01,,
"MIROKUNOROCK",TUlST0tVTk9ST0NL,2019-09-01,,
"Tsuki to Taiyou",VHN1a2kgdG8gVGFpeW91,2014-01-01,,
"Luna By Snap",THVuYSBCeSBTbmFw,2020-01-01,jpop_fandom_years,year
"Yokubari Sensation",WW9rdWJhcmkgU2Vuc2F0aW9u,2021-07-29,,
"husky",aHVza3k,2017-07-01,,
"PLANCK STARS",UExBTkNLIFNUQVJT,2018-12-31,,
"chuuum",Y2h1dXVt,2023-09-17,,
"Bokuseka",Qm9rdXNla2E,2021-10-02,,
"SKIRMISH",U0tJUk1JU0g,2018-01-01,,
"LUCY",TFVDWQ,2024-09-21,,
"MELTY HZ",TUVMVFkgSFo,2018-10-01,,
"postalgia",cG9zdGFsZ2lh,2020-12-12,,
"MagMell",TWFnTWVsbA,2023-04-10,,
"Chu☆Oh! Dolly",Q2h14piGT2ghIERvbGx5,2016-06-18,,
"Jelno!",SmVsbm8h,2014-01-01,jpop_fandom_years,year
"Stella☆Beats",U3RlbGxh4piGQmVhdHM,2014-01-01,jpop_fandom_years,year
"LoveKen",TG92ZUtlbg,2013-01-01,jpop_fandom_years,year
"BELLRING Shoujo Heart '22",QkVMTFJJTkcgU2hvdWpvIEhlYXJ0ICcyMg,2023-04-16,,
"THERE THERE THERES",VEhFUkUgVEhFUkUgVEhFUkVT,2017-01-01,,
"Seven Colors",U2V2ZW4gQ29sb3Jz,2012-08-10,,
"Shojotai",U2hvam90YWk,2015-04-01,,
"mignon",bWlnbm9u,2021-02-21,,
"SHANIMUNI PARADE",U0hBTklNVU5JIFBBUkFERQ,2020-08-30,,
"PIP",UElQ,2014-06-01,,
"ALLOVER",QUxMT1ZFUg,2013-04-01,,
"Bubble Bobbdie Gum!!",QnViYmxlIEJvYmJkaWUgR3VtISE,2019-04-15,,
"Goodbye for First kiss",R29vZGJ5ZSBmb3IgRmlyc3Qga2lzcw,2023-05-01,,
"Raydroid",UmF5ZHJvaWQ,2020-01-01,jpop_fandom_years,year
"Neon Rain",TmVvbiBSYWlu,2020-01-01,,
"100-YOKAI",MTAwLVlPS0FJ,2020-02-01,,
"Kitto Zutto Seishun.",S2l0dG8gWnV0dG8gU2Vpc2h1bi4,2022-11-01,,
"Kitsunebi",S2l0c3VuZWJp,2020-11-05,,
"Sengoku Animal Gokuraku Joudo",U2VuZ29rdSBBbmltYWwgR29rdXJha3UgSm91ZG8,2018-10-01,,
"astraia*",YXN0cmFpYSo,2018-05-01,,
"BABY TO KISS",QkFCWSBUTyBLSVNT,2017-01-01,jpop_fandom_years,year
"MILLION＄PARADE",TUlMTElPTu-8hFBBUkFERQ,2022-01-17,,
"Mecha High",TWVjaGEgSGlnaA,2012-01-01,jpop_fandom_years,year
"Strawberry Syndrome",U3RyYXdiZXJyeSBTeW5kcm9tZQ,2016-01-01,jpop_fandom_years,year
"DOPING BERRY",RE9QSU5HIEJFUlJZ,2016-01-01,jpop_fandom_years,year
"Odoro",T2Rvcm8,2017-09-30,,
"BugMEME",QnVnTUVNRQ,2020-04-04,,
"FANTASIA",RkFOVEFTSUE,2021-12-30,,
"FILL ME TRAX",RklMTCBNRSBUUkFY,2022-12-21,,
"403ERROR",NDAzRVJST1I,2017-01-01,,
"Nemuleap",TmVtdWxlYXA,2022-08-06,,
"SUDDENDEATH",U1VEREVOREVBVEg,2018-12-01,,
"プティパ",44OX44OG44Kj44OR,2013-09-01,,
"フルコース",RnVsbCBDb3Vyc2U,2026-02-15,,
"ハルカエコー",82c6703f-0d5d-4b54-972d-232437a3b991,2026-04-09,,
"ヒロインズ研究生大阪",dff1e0bf-9b5e-4a9c-85db-5379cafb7513,2025-06-25,,
"Pastel Closet",3470f280-df87-4c34-addb-7d4a7c52106a,2025-07-27,,
"MOBIUS",TU9CSVVT,2019-01-01,jpop_fandom_years,year
"妄愛グラビティ",5aaE5oSb44Kw44Op44OT44OG44Kj,2019-01-01,jpop_fandom_years,year
"鵺",6bW6,2018-01-01,jpop_fandom_years,year
"iLiFE!候補生",aUxpRkUh5YCZ6KOc55Sf,2024-01-01,jpop_fandom_years,year
"なう♡すとれーじ",Tm93U3RvcmFnZQ,2026-07-06,,
